"Ahrensfelde, Ahrensfelder Chaussee (Eiche)"	9350375
"Ahrensfelde, Bahnhof Ahrensfelde Friedhof"	9350141
"Ahrensfelde, Bahnhof Ahrensfelde Nord"	9350142
"Ahrensfelde, Bahnhof Blumberg"	9350151
"Ahrensfelde, Bahnhof Blumberg-Rehhahn"	9350178
"Ahrensfelde, Bahnstraße"	9350143
"Ahrensfelde, Dorf (Eiche)"	9350377
"Ahrensfelde, Fasanenstraße"	9350139
"Ahrensfelde, Feldstraße"	9350145
"Ahrensfelde, Gärtnerstraße (Eiche)"	9350378
"Ahrensfelde, Heinestraße"	9350146
"Ahrensfelde, Hort"	9350297
"Ahrensfelde, Kirche"	9350147
"Ahrensfelde, Kirschenallee"	9350138
"Ahrensfelde, Kleine Bahnhofstraße"	9350951
"Ahrensfelde, Mehrower Straße"	9350202
"Ahrensfelde, Schule (Blumberg)"	9350300
"Ahrensfelde, Ulmenallee"	9350148
"Altdöbern, Bahnhof"	9435209
"Altentreptow, Bahnhof"	9550232
"Althüttendorf, Bahnhof"	9350809
"Altmittweida, Bahnhof"	9550292
"Angermünde, Bahnhof"	9340004
"Anklam, Bahnhof"	9550047
"Annaburg, Bahnhof"	9550323
"Bad Belzig, Am Betriebshof"	9221999
"Bad Belzig, Bahnhof"	9220143
"Bad Belzig, Bahnhofstraße"	9222003
"Bad Belzig, Bergholz"	9222239
"Bad Belzig, Borne"	9222036
"Bad Belzig, Brandenburger Straße/SteinTherme"	9222005
"Bad Belzig, Burg Eisenhardt"	9222184
"Bad Belzig, Busbahnhof"	9220174
"Bad Belzig, Dorf (Fredersdorf)"	9222067
"Bad Belzig, Egelinde"	9222065
"Bad Belzig, Erich-Weinert-Straße"	9222006
"Bad Belzig, Ernst-Thälmann-Straße"	9222038
"Bad Belzig, Feierabendheim"	9222007
"Bad Belzig, Fichtestraße"	9222008
"Bad Belzig, Forst"	9222009
"Bad Belzig, Gliener Straße"	9222010
"Bad Belzig, Klinkengrund"	9222012
"Bad Belzig, Krankenhaus"	9222013
"Bad Belzig, Landratsamt"	9220348
"Bad Belzig, Lübnitzer Straße"	9222014
"Bad Belzig, Lübnitzer Straße/Puschkinstraße"	9222071
"Bad Belzig, Markt"	9222015
"Bad Belzig, Martin-Luther-Straße"	9222016
"Bad Belzig, Niemegker Straße"	9222017
"Bad Belzig, Ortsmitte (Dippmannsdorf)"	9222062
"Bad Belzig, Puschkinstraße"	9222018
"Bad Belzig, Reha-Klinik"	9222019
"Bad Belzig, Reha-Klinik Haupteingang"	9222263
"Bad Belzig, Röderhof"	9222020
"Bad Belzig, Rosa-Luxemburg-Straße"	9222021
"Bad Belzig, Schule (Dippmannsdorf)"	9222063
"Bad Belzig, Seedoche"	9222022
"Bad Belzig, SteinTherme/Am Kurpark"	9222002
"Bad Belzig, Weitzgrunder Weg"	9222023
"Bad Belzig, ZEGG"	9222024
"Bad Freienwalde (Oder), Abzweig (Bralitz)"	9321056
"Bad Freienwalde (Oder), Abzweig (Neuenhagen)"	9320997
"Bad Freienwalde (Oder), Altglietzen"	9321005
"Bad Freienwalde (Oder), Alttornow"	9321022
"Bad Freienwalde (Oder), Am Friedhof"	9321023
"Bad Freienwalde (Oder), Am Spitz"	9321057
"Bad Freienwalde (Oder), Amtsstraße"	9321024
"Bad Freienwalde (Oder), August-Heese-Straße"	9321021
"Bad Freienwalde (Oder), Bahnhof"	9321025
"Bad Freienwalde (Oder), Bahnhof Altranft"	9321013
"Bad Freienwalde (Oder), Berliner Straße"	9321026
"Bad Freienwalde (Oder), Busbahnhof"	9321027
"Bad Freienwalde (Oder), Dorf Bralitz"	9321058
"Bad Freienwalde (Oder), Düsterer Grund"	9321028
"Bad Freienwalde (Oder), Esser"	9321014
"Bad Freienwalde (Oder), Finanzamt"	9321030
"Bad Freienwalde (Oder), Imperhandel"	9321059
"Bad Freienwalde (Oder), Kinderheim (Bralitz)"	9321060
"Bad Freienwalde (Oder), Konradsbrück"	9321006
"Bad Freienwalde (Oder), Konzerthalle"	9321035
"Bad Freienwalde (Oder), Kreuzung (Neuenhagen)"	9321007
"Bad Freienwalde (Oder), Malche"	9321036
"Bad Freienwalde (Oder), Markt"	9321037
"Bad Freienwalde (Oder), Neukietz"	9321039
"Bad Freienwalde (Oder), Sachsenhof"	9321040
"Bad Freienwalde (Oder), Scheunenberg"	9321041
"Bad Freienwalde (Oder), Schlachthof"	9321042
"Bad Freienwalde (Oder), Schloßpark"	9321043
"Bad Freienwalde (Oder), Stadtrandsiedlung"	9321044
"Bad Freienwalde (Oder), Waldstadt"	9321045
"Bad Freienwalde (Oder), Wendestelle"	9321008
"Bad Freienwalde (Oder), Ziegelei"	9321009
"Bad Freienwalde (Oder), Zuckerfabrik"	9321016
"Bad Kleinen, Bahnhof"	9550054
"Bad Liebenwerda, Bahnhof"	9415240
"Bad Saarow, Bahnhof"	9310040
"Bad Saarow, Bahnhof Klinikum"	9310042
"Bad Wilsnack, Bahnhof"	9215110
"Baranovichi, Bahnhof Centralnye"	2100013
"Baruth/Mark, Bahnhof"	9245035
"Beelitz, Abzweig Gewerbepark"	9220939
"Beelitz, Ambulatorium"	9220806
"Beelitz, Am Lustgarten"	9220927
"Beelitz, Am Markt (Fichtenwalde)"	9220808
"Beelitz, Amselweg"	9220989
"Beelitz, An der Kiesgrube"	9220982
"Beelitz, Ausbau (Elsholz)"	9220944
"Beelitz, Bahnhof Beelitz-Heilstätten"	9220005
"Beelitz, Bahnhof Elsholz"	9220305
"Beelitz, Bahnhof Stadt"	9220938
"Beelitz, Birkhorst"	9220956
"Beelitz, Brücker Weg (Fichtenwalde)"	9220965
"Beelitz, Busendorf"	9220960
"Beelitz, Carl-von-Ossietzky-Straße"	9220975
"Beelitz, Eiche (Fichtenwalde)"	9220969
"Beelitz, Feuerwehr (Beelitz-Heilstätten)"	9220981
"Beelitz, Finkenstraße"	9220976
"Beelitz, Fischerstraße/B2"	9220943
"Beelitz, Friedrichshof"	9220814
"Beelitz, Gymnasium"	9220935
"Beelitz, Heilstätten"	9220931
"Beelitz, Husarenallee"	9220930
"Beelitz, Jahnstraße"	9220926
"Beelitz, Kemmeter Weg"	9220936
"Beelitz, Liebknechtpark"	9220928
"Beelitz, Mittelstraße (Fichtenwalde)"	9220966
"Beelitz, Ort (Elsholz)"	9220942
"Beelitz, Platanenring"	9220977
"Beelitz, Rathaus"	9220933
"Beelitz, Reha-Kliniken"	9220937
"Beelitz, Schmerberger Straße (Fichtenwalde)"	9220968
"Beelitz, Schule (Fichtenwalde)"	9220967
"Beelitz, Straße nach Salzbrunn (Elsholz)"	9210332
"Beelitz, Treuenbrietzener Straße"	9220978
"Beelitz, Virchowstraße"	9220934
"Beelitz, Wasserwerk (Elsholz)"	9220941
"Beelitz, Wilmersdorfer Straße (Fichtenwalde)"	9220964
"Beelitz, Zeppelinstraße"	9220929
"Beelitz, Zum Bahnhof"	9220994
"Beelitz, Zur Feldscheune"	9220932
"Beeskow, Bahnhof"	9311129
"Beeskow, Bahnhof Oegeln"	9310615
"Beeskow, Bahnhof Schneeberg"	9310616
"Beetzsee, Dorf (Brielow)"	9220280
"Beetzsee, Mühlenweg"	9220281
"Beiersdorf-Freudenberg, Baumschule (Beiersdorf)"	9321050
"Beiersdorf-Freudenberg, Dorf (Beiersdorf)"	9321051
"Beiersdorf-Freudenberg, Freudenberg"	9321077
"Beilrode, Bahnhof"	9550267
"Bensdorf, Altbensdorf"	9220271
"Bergen auf Rügen, Bahnhof"	9550043
"Berkenbrück/Spree, Bahnhof"	9310005
"Berlin, Aalemannufer"	9027205
"Berlin, Abgeordnetenhaus"	9012105
"Berlin, Abtstraße"	9193510
"Berlin, Achardstraße"	9175549
"Berlin, Adalbertstraße"	9100546
"Berlin, Adalbertstraße/Oranienstraße"	9014103
"Berlin, Adersleber Weg"	9170515
"Berlin, Adlergestell/Glienicker Weg"	9193501
"Berlin, Adlergestell/Vetschauer Allee"	9185503
"Berlin, Adolf-Scheidt-Platz"	9068158
"Berlin, Adolfstraße"	9175555
"Berlin, Agathe-Lasch-Platz [Bus]"	9040104
"Berlin, Ahlener Weg"	9064258
"Berlin, Ahornallee"	9182503
"Berlin, Ahrensdorfer Straße"	9073253
"Berlin, Ahrensfelde/Stadtgrenze"	9170006
"Berlin, Ahrenshooper Straße"	9151501
"Berlin, Akeleiweg"	9194502
"Berlin, Albert-Einstein-Straße"	9194525
"Berlin, Albertinenstraße"	9140005
"Berlin, Albertstraße"	9054151
"Berlin, Alboinplatz"	9058107
"Berlin, Alboinstraße/Arnulfstraße"	9058151
"Berlin, Albrechtstraße/Manteuffelstraße"	9068204
"Berlin, Alemannenstraße"	9195009
"Berlin, Alemannenstraße/Maximiliankorso"	9092205
"Berlin, Alexanderstraße"	9100518
"Berlin, Alexandrinenstraße"	9012156
"Berlin, Alfons-Loewe-Straße"	9037131
"Berlin, Alfred-Scholz-Platz"	9078151
"Berlin, Allee der Kosmonauten/Poelchaustraße"	9170019
"Berlin, Allee der Kosmonauten/Rhinstraße [Allee der Kosmonauten]"	9171708
"Berlin, Allee der Kosmonauten/Rhinstraße [Rhinstraße]"	9171008
"Berlin, Alliiertenmuseum"	9051255
"Berlin, Almutstraße"	9093202
"Berlin, Alsterweg"	9065151
"Berlin, Alt-Biesdorf"	9171532
"Berlin, Alt-Blankenburg"	9142502
"Berlin, Alt-Buch"	9135511
"Berlin, Alt-Buch/Karower Straße"	9135512
"Berlin, Alt-Buch/Wiltbergstraße"	9135506
"Berlin, Alt-Buckow"	9081201
"Berlin, Alte Allee"	9025451
"Berlin, Alte Försterei"	9181513
"Berlin, Alte Hellersdorfer Stra0e/Zossener Straße"	9175512
"Berlin, Altenburger Allee"	9026171
"Berlin, Altenhofer Straße"	9150509
"Berlin, Altensteinstraße/Fabeckstraße"	9051313
"Berlin, Altentreptower Straße"	9171512
"Berlin, Alter Schönefelder Weg"	9195520
"Berlin, Altes Wasserwerk"	9182005
"Berlin, Altes Wasserwerk [Ausstieg]"	9182705
"Berlin, Alt-Friedrichsfelde 60"	9161519
"Berlin, Alt-Friedrichsfelde/Gensinger Straße"	9161005
"Berlin, Alt-Friedrichsfelde/Rhinstraße"	9161004
"Berlin, Alt-Gatow"	9038104
"Berlin, Altglienicke Kirche"	9195006
"Berlin, Altglienicker Brücke"	9195508
"Berlin, Alt-Heiligensee"	9091101
"Berlin, Altkanzlerstraße"	9050206
"Berlin, Alt-Karow"	9143509
"Berlin, Alt-Karow/Bahnhofstraße"	9143501
"Berlin, Alt-Karow/Straße 74"	9143500
"Berlin, Alt-Kaulsdorf/Chemnitzer Straße"	9175548
"Berlin, Alt-Kladow"	9039102
"Berlin, Alt-Lübars"	9095101
"Berlin, Alt-Mahlsdorf"	9176524
"Berlin, Altmarkstraße"	9060152
"Berlin, Alt-Marzahn"	9170516
"Berlin, Alt-Moabit/Gotzkowskystraße"	9003107
"Berlin, Alt-Moabit/Rathaus Tiergarten"	9003157
"Berlin, Alt-Moabit/Rathenower Straße"	9003203
"Berlin, Alt-Müggelheim"	9184002
"Berlin, Alt-Pichelsdorf"	9032402
"Berlin, Alt-Rudow/Köpenicker Straße"	9083251
"Berlin, Alt-Schmöckwitz [Abfahrt]"	9185001
"Berlin, Alt-Schmöckwitz [Ankunft]"	9185702
"Berlin, Alt-Schmöckwitz [Endstelle]"	9185701
"Berlin, Alt-Schönow"	9049374
"Berlin, Alt-Staaken Kirche"	9037159
"Berlin, Alt-Stralau"	9120501
"Berlin, Alt-Treptow"	9190501
"Berlin, Alt-Wittenau/Roedernallee"	9096404
